slot,focus_effect,item,item_url,slot_raw,classes,ac,hp,mana,weight,size,era,flags,stats,saves
Chest,Spell Haste II,Mithril-Runed Tunic,https://eqlwiki.com/Mithril-Runed_Tunic,CHEST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,10,,,2.5,MEDIUM,,MAGIC ITEM,STA+3 WIS+5,
Chest,Spell Haste II,Shining Metallic Robes,https://eqlwiki.com/Shining_Metallic_Robes,CHEST,Necromancer|Wizard|Magician|Enchanter,10,,,3.5,MEDIUM,,MAGIC ITEM,INT+9,COLD+8 FIRE+8
Chest,Spell Haste II,Shiny Robe of the Underfoot,https://eqlwiki.com/Shiny_Robe_of_the_Underfoot,CHEST,Necromancer|Wizard|Magician|Enchanter,12,,30,3.5,MEDIUM,Classic Era,MAGIC ITEM|LORE ITEM,INT+7 STR+3,COLD+10 FIRE+10 MAGIC+10
Chest,Summoning Efficiency I,Gossamer Robe,https://eqlwiki.com/Gossamer_Robe,CHEST,Necromancer|Wizard|Magician|Enchanter,8,,,1.0,MEDIUM,,MAGIC ITEM,,
Chest,Summoning Haste II,Robe of the Elements,https://eqlwiki.com/Robe_of_the_Elements,CHEST,Magician,9,,,3.5,MEDIUM,Temple Era,MAGIC ITEM|LORE ITEM,INT+4,COLD+5 FIRE+5
Ear,Affliction Efficiency I,Diamondine Earring,https://eqlwiki.com/Diamondine_Earring,EAR,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,2,12,,0.1,TINY,Classic Era,MAGIC ITEM,STR+3,
Ear,Burning Affliction I,Golden Ear Stud,https://eqlwiki.com/Golden_Ear_Stud,EAR,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.1,TINY,,,INT+3,
Ear,Jolum's Abatement,Summoned: Jolum's Shiny Bauble,https://eqlwiki.com/Summoned:_Jolum's_Shiny_Bauble,EAR,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,4,10,10,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Ear,Jolum's Major Abatement,Summoned: Jolum's Brilliant Bauble,https://eqlwiki.com/Summoned:_Jolum's_Brilliant_Bauble,EAR,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,6,20,20,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Ear,Jolum's Minor Abatement,Summoned: Jolum's Tarnished Bauble,https://eqlwiki.com/Summoned:_Jolum's_Tarnished_Bauble,EAR,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,2,5,5,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Ear,Jolum's Superior Abatement,Summoned: Jolum's Glowing Bauble,https://eqlwiki.com/Summoned:_Jolum's_Glowing_Bauble,EAR,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,6,20,20,0.1,TINY,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Ear,Mana Preservation I,Polished Bone Hoop,https://eqlwiki.com/Polished_Bone_Hoop,EAR,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,10,0.1,TINY,,,,
Ear,Reagent Conservation I,Batskull Earring,https://eqlwiki.com/Batskull_Earring,EAR,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.2,TINY,Classic Era,MAGIC ITEM,INT+5,
Face,Burning Affliction I,Burrowing Goggles,https://eqlwiki.com/Burrowing_Goggles,FACE,Necromancer|Wizard|Magician|Enchanter,5,10,,0.1,SMALL,,,INT+5,
Face,Improved Damage II,Polished Mithril Mask,https://eqlwiki.com/Polished_Mithril_Mask,FACE,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,0.8,SMALL,,MAGIC ITEM|LORE ITEM|NO DROP,INT+7 WIS+7,
Face,Improved Healing I,Emissary Mask,https://eqlwiki.com/Emissary_Mask,FACE,Warrior|Cleric|Paladin|Shadow Knight|Bard,4,,,1.0,SMALL,Classic Era,ATTUNABLE,WIS+3,FIRE+3
Face,Reanimation Efficiency I,Lizardskin Tribal Mask,https://eqlwiki.com/Lizardskin_Tribal_Mask,FACE,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,3,,,0.2,SMALL,,MAGIC ITEM,AGI+5,MAGIC+5
Face,Reanimation Haste I,Carved Ivory Mask,https://eqlwiki.com/Carved_Ivory_Mask,FACE,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,2,10,,0.9,SMALL,,MAGIC ITEM,AGI+4,
Face,Summoning Haste II,Incandescent Mask,https://eqlwiki.com/Incandescent_Mask,FACE,Monk|Enchanter,3,,,0.4,SMALL,Temple Era,MAGIC ITEM|LORE ITEM,CHA+7 INT+5,
Feet,Burning Affliction II,Kobold-Hide Boots,https://eqlwiki.com/Kobold-Hide_Boots,FEET,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,10,,2.5,SMALL,Classic Era,MAGIC ITEM,AGI+3,
Feet,Enhancement Haste II,Golden Efreeti Boots,https://eqlwiki.com/Golden_Efreeti_Boots,FEET,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,2.5,MEDIUM,Classic Era,MAGIC ITEM,INT+9 WIS+9,POISON+1
Feet,Extended Enhancement I,Bear-hide Boots,https://eqlwiki.com/Bear-hide_Boots,FEET,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,2.5,SMALL,,,,
Feet,Spell Haste I,Wolf Fur Slippers,https://eqlwiki.com/Wolf_Fur_Slippers,FEET,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,2,,20,0.5,SMALL,Classic Era,MAGIC ITEM,AGI+7,
Fingers,Affliction Haste I,Ring of Goblin Lords,https://eqlwiki.com/Ring_of_Goblin_Lords,FINGER,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,4,,,0.1,TINY,,LORE ITEM,INT+3 STR+3,
Fingers,Extended Enhancement II,Clawed Knuckle-Ring,https://eqlwiki.com/Clawed_Knuckle-Ring,FINGER,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,20,,0.1,TINY,,MAGIC ITEM,DEX+2,
Fingers,Extended Range II,Moonstone Ring,https://eqlwiki.com/Moonstone_Ring,FINGER,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,30,0.1,TINY,,MAGIC ITEM,STR+3,
Fingers,Naki's Charm of Pernicity,Summoned: Naki's Twisted Ring,https://eqlwiki.com/Summoned:_Naki's_Twisted_Ring,FINGER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,4,10,10,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Fingers,Naki's Greater Pernicity,Summoned: Naki's Studded Ring,https://eqlwiki.com/Summoned:_Naki's_Studded_Ring,FINGER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,6,20,20,0.1,TINY,Kunark Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Fingers,Naki's Lesser Pernicity,Summoned: Naki's Tiny Ring,https://eqlwiki.com/Summoned:_Naki's_Tiny_Ring,FINGER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,2,5,5,0.1,TINY,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Fingers,Naki's Superior Pernicity,Summoned: Naki's Spiked Ring,https://eqlwiki.com/Summoned:_Naki's_Spiked_Ring,FINGER,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,6,20,20,0.1,TINY,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Fingers,Reanimation Efficiency II,Platinum Skull Ring,https://eqlwiki.com/Platinum_Skull_Ring,FINGER,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,30,20,0.1,TINY,,MAGIC ITEM,CHA-5,
Fingers,Spell Haste II,Djarns Amethyst Ring,https://eqlwiki.com/Djarns_Amethyst_Ring,FINGER,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,80,,0.1,TINY,,MAGIC ITEM|LORE ITEM,AGI+9,
Fingers,Summoning Efficiency I,Band of Flesh,https://eqlwiki.com/Band_of_Flesh,FINGER,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.1,TINY,,MAGIC ITEM,STR+2,
Fingers,Summoning Haste I,Adamantite Band,https://eqlwiki.com/Adamantite_Band,FINGER,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,75,,0.1,TINY,Classic Era,MAGIC ITEM,,MAGIC-10
Hands,Affliction Efficiency I,Impskin Gloves,https://eqlwiki.com/Impskin_Gloves,HANDS,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,2,,10,1.5,SMALL,,MAGIC ITEM,INT+5,
Hands,Improved Damage I,Lupine Claw Gauntlets,https://eqlwiki.com/Lupine_Claw_Gauntlets,HANDS,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,4,,,0.2,LARGE,,MAGIC ITEM,AGI+3 DEX+3,
Hands,Summoning Efficiency I,Dusty Bloodstained Gloves,https://eqlwiki.com/Dusty_Bloodstained_Gloves,HANDS,Necromancer|Wizard|Magician|Enchanter,2,,25,0.4,SMALL,,MAGIC ITEM,,
Head,Burning Affliction II,Siryn Hair Hood,https://eqlwiki.com/Siryn_Hair_Hood,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,0.2,SMALL,,MAGIC ITEM,CHA+13,FIRE+10
Head,Burning Affliction III,Cryosilk Cap,https://eqlwiki.com/Cryosilk_Cap,HEAD,Necromancer|Wizard|Magician|Enchanter,5,10,10,0.3,SMALL,Classic Era,MAGIC ITEM|NO DROP,CHA+13 INT+7 WIS+9,MAGIC+9
Head,Enhancement Haste I,Cat Skull Cap,https://eqlwiki.com/Cat_Skull_Cap,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,4,,,0.5,SMALL,Classic Era,MAGIC ITEM|LORE ITEM|NO DROP,,MAGIC+2
Head,Enhancement Haste I,Etched Iron Helm,https://eqlwiki.com/Etched_Iron_Helm,HEAD,Warrior|Cleric|Paladin|Shadow Knight|Bard,11,,,7.5,SMALL,Classic Era,,,MAGIC+2
Head,Enhancement Haste II,Platinum Tiara,https://eqlwiki.com/Platinum_Tiara,HEAD,Cleric|Druid|Bard|Shaman|Necromancer|Wizard|Magician|Enchanter,3,35,50,1.2,SMALL,,MAGIC ITEM|LORE ITEM,,
Head,Extended Enhancement I,Shazda Turban,https://eqlwiki.com/Shazda_Turban,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.2,MEDIUM,,MAGIC ITEM|LORE ITEM,AGI+4 DEX+4,
Head,Extended Enhancement II,Batfang Headband,https://eqlwiki.com/Batfang_Headband,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,2,,,1.5,SMALL,Classic Era,MAGIC ITEM,INT+3 WIS+3,
Head,Improved Healing I,Turtleshell Helm,https://eqlwiki.com/Turtleshell_Helm,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,6.0,SMALL,,MAGIC ITEM,STR+3,
Head,Improved Healing I,Zaharn's Coronet,https://eqlwiki.com/Zaharn's_Coronet,HEAD,Cleric|Druid|Shaman,5,,25,5.0,SMALL,,MAGIC ITEM|LORE ITEM,STR+3,
Head,Mana Preservation I,Wicked Sallet,https://eqlwiki.com/Wicked_Sallet,HEAD,Shadow Knight,10,,,3.5,SMALL,Classic Era,,INT+2 STA+3 STR+3,
Head,Mana Preservation II,Mane Attraction,https://eqlwiki.com/Mane_Attraction,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,4,,,3.5,SMALL,,LORE ITEM|NO DROP,CHA+10,
Head,Reagent Conservation II,Crown of Leaves,https://eqlwiki.com/Crown_of_Leaves,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,1,,,0.4,SMALL,,,WIS+5,
Head,Reagent Conservation II,Fine Silk Turban,https://eqlwiki.com/Fine_Silk_Turban,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,10,,,0.3,SMALL,,MAGIC ITEM,,FIRE+10
Head,Reagent Conservation II,Savant's Cap,https://eqlwiki.com/Savant's_Cap,HEAD,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,2,,,0.3,SMALL,,MAGIC ITEM,INT+3 WIS+3,
Head,Reanimation Efficiency I,Dark Circlet,https://eqlwiki.com/Dark_Circlet,HEAD,Necromancer,4,10,,0.2,SMALL,Classic Era,,CHA-2 INT+4,
Head,Reanimation Efficiency II,Runed Cowl,https://eqlwiki.com/Runed_Cowl,HEAD,Bard|Necromancer|Wizard|Magician|Enchanter,2,,,0.3,SMALL,Classic Era,MAGIC ITEM,INT+9 WIS+5,
Head,Reanimation Haste I,Nightshade Wreath,https://eqlwiki.com/Nightshade_Wreath,HEAD,Cleric|Druid|Bard|Shaman|Necromancer|Wizard|Magician|Enchanter,1,,,0.1,SMALL,,MAGIC ITEM,INT+5 WIS+5,
Legs,Reagent Conservation I,Drake-hide Leggings,https://eqlwiki.com/Drake-hide_Leggings,LEGS,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,,0.1,MEDIUM,,MAGIC ITEM,CHA+5 DEX+5,
Legs,Reanimation Haste II,Ishva Mas Leggings,https://eqlwiki.com/Ishva_Mas_Leggings,LEGS,Necromancer|Wizard|Magician|Enchanter,5,,,0.7,SMALL,Classic Era,ATTUNABLE|EQUIPPED|LORE,CHA+5 INT+5,FIRE+7 POISON+7
Neck,Affliction Efficiency II,White Gold Necklace,https://eqlwiki.com/White_Gold_Necklace,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.3,SMALL,,MAGIC ITEM,CHA+5,COLD+7 FIRE+7 MAGIC+7
Neck,Affliction Haste II,Chrysoberyl Talisman,https://eqlwiki.com/Chrysoberyl_Talisman,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,,20,1.0,SMALL,,MAGIC ITEM|LORE ITEM,WIS+3,
Neck,Burning Affliction I,Allize Volew Medicine Bag,https://eqlwiki.com/Allize_Volew_Medicine_Bag,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.2,TINY,,MAGIC ITEM|LORE ITEM,,DISEASE+1 POISON+1
Neck,Burning Affliction I,Aviak Charm,https://eqlwiki.com/Aviak_Charm,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.1,TINY,,MAGIC ITEM|LORE ITEM|NO DROP,DEX+2 WIS+1,POISON+2
Neck,Enhancement Haste I,Cape of Midnight Mist,https://eqlwiki.com/Cape_of_Midnight_Mist,NECK,Cleric|Druid|Bard|Shaman|Necromancer|Wizard|Magician|Enchanter,2,,,0.1,SMALL,Classic Era,MAGIC ITEM,STR+5,MAGIC+7
Neck,Extended Range I,An Elven Charm Necklace,https://eqlwiki.com/An_Elven_Charm_Necklace,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.2,TINY,Classic Era,LORE ITEM,CHA+3,
Neck,Extended Range I,Elven Charm Necklace,https://eqlwiki.com/Elven_Charm_Necklace,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.2,TINY,Classic Era,,CHA+3 INT+3 WIS+3,
Neck,Extended Range I,Glowing Bone Collar,https://eqlwiki.com/Glowing_Bone_Collar,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,5,25,25,0.4,SMALL,Classic Era,MAGIC ITEM|LORE ITEM,,
Neck,Jedah's Conservation,Summoned: Jedah's Silver Choker,https://eqlwiki.com/Summoned:_Jedah's_Silver_Choker,NECK,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,5,10,10,0.1,TINY,,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Neck,Jedah's Greater Conservation,Summoned: Jedah's Golden Choker,https://eqlwiki.com/Summoned:_Jedah's_Golden_Choker,NECK,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,8,20,20,0.1,TINY,,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Neck,Jedah's Lesser Conservation,Summoned: Jedah's Brass Choker,https://eqlwiki.com/Summoned:_Jedah's_Brass_Choker,NECK,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,2,5,5,0.1,TINY,,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Neck,Jedah's Superior Conservation,Summoned: Jedah's Platinum Choker,https://eqlwiki.com/Summoned:_Jedah's_Platinum_Choker,NECK,Beastlord|Cleric|Druid|Enchanter|Magician|Necromancer|Paladin|Ranger|Shaman|Shadow Knight|Wizard,8,20,20,0.1,TINY,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE,,
Neck,Mana Preservation II,Black Alloy Medallion,https://eqlwiki.com/Black_Alloy_Medallion,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,6,,,0.1,TINY,Classic Era,MAGIC ITEM,INT+5 WIS+5,
Neck,Spell Haste I,Beaded Slime Necklace,https://eqlwiki.com/Beaded_Slime_Necklace,NECK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.2,SMALL,,,INT+5,
