character_class,slot,focus_effect,item,item_url,ac,hp,mana,era,flags
Bard,Primary,String Resonance 11,Lute of the Gypsy Princess,https://eqlwiki.com/Lute_of_the_Gypsy_Princess,,,,,ATTUNABLE|PLACEABLE
Bard,Primary,String Resonance 12,Lute of the Howler,https://eqlwiki.com/Lute_of_the_Howler,,,,Velious Era,MAGIC ITEM
Bard,Primary,String Resonance 15,Lyran's Mystical Lute,https://eqlwiki.com/Lyran's_Mystical_Lute,,,,Kunark Era,MAGIC ITEM|LORE ITEM|NO DROP
Bard,Primary,Wind Resonance 0,Crude Wooden Flute,https://eqlwiki.com/Crude_Wooden_Flute,,,,Sky Era,LORE ITEM|NO DROP
Bard,Primary,Wind Resonance 10,Minotaur Horn,https://eqlwiki.com/Minotaur_Horn,,,,Classic Era,
Bard,Primary,Wind Resonance 12,Agilmente's Flute of Flight,https://eqlwiki.com/Agilmente's_Flute_of_Flight,,,,Sky Era,MAGIC ITEM|LORE ITEM|NO DROP
Bard,Primary,Wind Resonance 12,Ervaj's Flute of Flight,https://eqlwiki.com/Ervaj's_Flute_of_Flight,,,,Classic Era,MAGIC ITEM|LORE ITEM|NO DROP
Bard,Range,Improved Healing III,Idol of the Underking,https://eqlwiki.com/Idol_of_the_Underking,,20,20,Classic Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,Brass Resonance 10,Horn,https://eqlwiki.com/Horn,,,,,
Bard,Secondary,Brass Resonance 11,Conch Shell Horn,https://eqlwiki.com/Conch_Shell_Horn,,,,Velious Era,MAGIC ITEM
Bard,Secondary,Brass Resonance 14,Immaculate Shell Horn,https://eqlwiki.com/Immaculate_Shell_Horn,,,,Velious Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,Brass Resonance 14,McVaxius` Horn of War,https://eqlwiki.com/McVaxius`_Horn_of_War,,,,,MAGIC ITEM|LORE ITEM
Bard,Secondary,Brass Resonance 8,Alluring Horn,https://eqlwiki.com/Alluring_Horn,,,,EpicQuests Era,MAGIC ITEM|LORE ITEM|NO DROP
Bard,Secondary,Extended Enhancement III,Rokyls Channelling Crystal,https://eqlwiki.com/Rokyls_Channelling_Crystal,10,50,50,,MAGIC ITEM|LORE ITEM
Bard,Secondary,Improved Damage I,Spiked Buckler,https://eqlwiki.com/Spiked_Buckler,10,,,Classic Era,
Bard,Secondary,Improved Healing III,Idol of the Underking,https://eqlwiki.com/Idol_of_the_Underking,,20,20,Classic Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,Mana Preservation I,Testament of Vanear,https://eqlwiki.com/Testament_of_Vanear,,,10,,MAGIC ITEM|LORE ITEM|NO DROP
Bard,Secondary,Percussion Resonance 11,Mahlin's Mystical Bongos,https://eqlwiki.com/Mahlin's_Mystical_Bongos,,,,EpicQuests Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,Percussion Resonance 11,Mistmoore Battle Drums,https://eqlwiki.com/Mistmoore_Battle_Drums,,,,,ATTUNEABLE|PLACEABLE
Bard,Secondary,Percussion Resonance 12,Nostrolo Tambourine,https://eqlwiki.com/Nostrolo_Tambourine,,,,Kunark Era,MAGIC ITEM|LORE ITEM|NO TRADE
Bard,Secondary,Percussion Resonance 12,Sharkskin Drum,https://eqlwiki.com/Sharkskin_Drum,,,,,MAGIC ITEM
Bard,Secondary,Percussion Resonance 13,Walrus Skin Drum,https://eqlwiki.com/Walrus_Skin_Drum,,,,Velious Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,Percussion Resonance 14,Selo`s Drums of the March,https://eqlwiki.com/Selo`s_Drums_of_the_March,,,,,MAGIC ITEM
Bard,Secondary,Percussion Resonance 8,Hand Drum,https://eqlwiki.com/Hand_Drum,,,,,
Bard,Secondary,String Resonance 10,Lute,https://eqlwiki.com/Lute,,,,,
Bard,Secondary,String Resonance 10,Mandolin,https://eqlwiki.com/Mandolin,,,,Classic Era,
Bard,Secondary,String Resonance 11,Gypsy Lute,https://eqlwiki.com/Gypsy_Lute,,,,,
Bard,Secondary,String Resonance 11,Lute of the Gypsy Princess,https://eqlwiki.com/Lute_of_the_Gypsy_Princess,,,,,ATTUNABLE|PLACEABLE
Bard,Secondary,String Resonance 11,Mystical Lute,https://eqlwiki.com/Mystical_Lute,,,,EpicQuests Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,String Resonance 14,Kelin`s Seven Stringed Lute,https://eqlwiki.com/Kelin`s_Seven_Stringed_Lute,,,,,MAGIC ITEM|LORE ITEM|NO DROP
Bard,Secondary,String Resonance 14,Lyendlln's Lute,https://eqlwiki.com/Lyendlln's_Lute,10,25,,Velious Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,String Resonance 15,Lyran's Mystical Lute,https://eqlwiki.com/Lyran's_Mystical_Lute,,,,Kunark Era,MAGIC ITEM|LORE ITEM|NO DROP
Bard,Secondary,Summoning Haste I,A Shimmering Orb,https://eqlwiki.com/A_Shimmering_Orb,15,20,,Classic Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,Wind Resonance 0,Broken Minotaur Lord's Horn,https://eqlwiki.com/Broken_Minotaur_Lord's_Horn,,,,,LORE ITEM|NO DROP
Bard,Secondary,Wind Resonance 0,Lianna's Flute,https://eqlwiki.com/Lianna's_Flute,,,,Temple Era,LORE ITEM|NO DROP
Bard,Secondary,Wind Resonance 10,Minotaur Horn,https://eqlwiki.com/Minotaur_Horn,,,,Classic Era,
Bard,Secondary,Wind Resonance 10,Scorpion Pincer,https://eqlwiki.com/Scorpion_Pincer,,,,,QUEST ITEM
Bard,Secondary,Wind Resonance 11,Brahhms Horn,https://eqlwiki.com/Brahhms_Horn,,,,Classic Era,
Bard,Secondary,Wind Resonance 11,Faun Flute,https://eqlwiki.com/Faun_Flute,,,,,MAGIC ITEM
Bard,Secondary,Wind Resonance 12,Unicorn Horn,https://eqlwiki.com/Unicorn_Horn,,,,Classic Era,MAGIC ITEM
Bard,Secondary,Wind Resonance 14,Lyssa`s Darkwood Piccolo,https://eqlwiki.com/Lyssa`s_Darkwood_Piccolo,,,,,MAGIC ITEM
Bard,Secondary,Wind Resonance 15,Flute of the Sacred Glade,https://eqlwiki.com/Flute_of_the_Sacred_Glade,,,,Velious Era,MAGIC ITEM|LORE ITEM
Bard,Secondary,Wind Resonance 8,Wooden Flute,https://eqlwiki.com/Wooden_Flute,,,,,
Bard,Shoulders,Enhancement Haste I,Braided Ivy Cords,https://eqlwiki.com/Braided_Ivy_Cords,4,,,Classic Era,MAGIC ITEM
Bard,Shoulders,Spell Haste I,Gilded Cloth,https://eqlwiki.com/Gilded_Cloth,3,,,,MAGIC ITEM
Bard,Waist,Burning Affliction II,Reed Belt,https://eqlwiki.com/Reed_Belt,6,10,,Classic Era,MAGIC ITEM
Bard,Waist,Burning Affliction III,Bone-Clasped Girdle,https://eqlwiki.com/Bone-Clasped_Girdle,4,75,75,Classic Era,MAGIC ITEM
Bard,Waist,Extended Enhancement II,Drakescale Belt,https://eqlwiki.com/Drakescale_Belt,5,,,Classic Era,
Bard,Waist,Summoning Haste III,Brell's Girdle,https://eqlwiki.com/Brell's_Girdle,10,,50,Classic Era,MAGIC ITEM|LORE ITEM
Bard,Wrist,Affliction Efficiency I,Polished Bone Bracelet,https://eqlwiki.com/Polished_Bone_Bracelet,2,,,Classic Era,MAGIC ITEM
Bard,Wrist,Affliction Efficiency II,Chipped Bone Bracelet,https://eqlwiki.com/Chipped_Bone_Bracelet,4,,,Classic Era,MAGIC ITEM
Bard,Wrist,Affliction Haste I,Granite Bracer,https://eqlwiki.com/Granite_Bracer,5,,,,MAGIC ITEM
Bard,Wrist,Burning Affliction II,Serpentine Bracer,https://eqlwiki.com/Serpentine_Bracer,1,,,Classic Era,MAGIC ITEM
Bard,Wrist,Reagent Conservation I,Happy Love Bracers,https://eqlwiki.com/Happy_Love_Bracers,1,,,,LORE ITEM|NO DROP
Bard,Wrist,Reagent Conservation II,Amethyst Bracelet,https://eqlwiki.com/Amethyst_Bracelet,5,15,,,MAGIC ITEM
Bard,Wrist,Reagent Conservation III,Runed Mithril Bracer,https://eqlwiki.com/Runed_Mithril_Bracer,4,,,Classic Era,MAGIC ITEM
Bard,Wrist,Reanimation Haste I,Ivory Bracelet,https://eqlwiki.com/Ivory_Bracelet,,,20,Classic Era,MAGIC ITEM
Bard,Wrist,Spell Haste I,Bracelet of Woven Grass,https://eqlwiki.com/Bracelet_of_Woven_Grass,1,12,,,MAGIC ITEM
Beastlord,Arms,Enhancement Haste I,Gatorscale Sleeves,https://eqlwiki.com/Gatorscale_Sleeves,6,15,,Classic Era,MAGIC ITEM
Beastlord,Arms,Extended Range I,Drake-hide Sleeves,https://eqlwiki.com/Drake-hide_Sleeves,4,10,,Classic Era,MAGIC ITEM
Beastlord,Arms,Improved Damage I,Azure Sleeves,https://eqlwiki.com/Azure_Sleeves,12,,,Classic Era,MAGIC ITEM
Beastlord,Arms,Mana Preservation I,Platinum Armband,https://eqlwiki.com/Platinum_Armband,,,,Classic Era,MAGIC ITEM
Beastlord,Back,Improved Damage I,Mammoth Hide Cloak,https://eqlwiki.com/Mammoth_Hide_Cloak,7,,,,
Beastlord,Back,Improved Damage III,White Dragonscale Cloak,https://eqlwiki.com/White_Dragonscale_Cloak,10,,75,Classic Era,MAGIC ITEM
Beastlord,Chest,Extended Enhancement I,Lockjaw Hide Vest,https://eqlwiki.com/Lockjaw_Hide_Vest,12,,,Classic Era,MAGIC ITEM
Beastlord,Chest,Mana Preservation I,Vagrant's Tunic,https://eqlwiki.com/Vagrant's_Tunic,8,5,,Classic Era,ATTUNABLE
Beastlord,Chest,Spell Haste II,Mithril-Runed Tunic,https://eqlwiki.com/Mithril-Runed_Tunic,10,,,,MAGIC ITEM
Beastlord,Ear,Affliction Efficiency I,Diamondine Earring,https://eqlwiki.com/Diamondine_Earring,2,12,,Classic Era,MAGIC ITEM
Beastlord,Ear,Burning Affliction I,Golden Ear Stud,https://eqlwiki.com/Golden_Ear_Stud,,,,,
Beastlord,Ear,Jolum's Abatement,Summoned: Jolum's Shiny Bauble,https://eqlwiki.com/Summoned:_Jolum's_Shiny_Bauble,4,10,10,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Ear,Jolum's Major Abatement,Summoned: Jolum's Brilliant Bauble,https://eqlwiki.com/Summoned:_Jolum's_Brilliant_Bauble,6,20,20,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Ear,Jolum's Minor Abatement,Summoned: Jolum's Tarnished Bauble,https://eqlwiki.com/Summoned:_Jolum's_Tarnished_Bauble,2,5,5,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Ear,Jolum's Superior Abatement,Summoned: Jolum's Glowing Bauble,https://eqlwiki.com/Summoned:_Jolum's_Glowing_Bauble,6,20,20,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Ear,Mana Preservation I,Polished Bone Hoop,https://eqlwiki.com/Polished_Bone_Hoop,,,10,,
Beastlord,Ear,Reagent Conservation I,Batskull Earring,https://eqlwiki.com/Batskull_Earring,,,,Classic Era,MAGIC ITEM
Beastlord,Face,Improved Damage II,Polished Mithril Mask,https://eqlwiki.com/Polished_Mithril_Mask,5,,,,MAGIC ITEM|LORE ITEM|NO DROP
Beastlord,Face,Reanimation Efficiency I,Lizardskin Tribal Mask,https://eqlwiki.com/Lizardskin_Tribal_Mask,3,,,,MAGIC ITEM
Beastlord,Face,Reanimation Haste I,Carved Ivory Mask,https://eqlwiki.com/Carved_Ivory_Mask,2,10,,,MAGIC ITEM
Beastlord,Feet,Burning Affliction II,Kobold-Hide Boots,https://eqlwiki.com/Kobold-Hide_Boots,5,10,,Classic Era,MAGIC ITEM
Beastlord,Feet,Enhancement Haste II,Golden Efreeti Boots,https://eqlwiki.com/Golden_Efreeti_Boots,5,,,Classic Era,MAGIC ITEM
Beastlord,Feet,Extended Enhancement I,Bear-hide Boots,https://eqlwiki.com/Bear-hide_Boots,5,,,,
Beastlord,Feet,Spell Haste I,Wolf Fur Slippers,https://eqlwiki.com/Wolf_Fur_Slippers,2,,20,Classic Era,MAGIC ITEM
Beastlord,Fingers,Affliction Haste I,Ring of Goblin Lords,https://eqlwiki.com/Ring_of_Goblin_Lords,4,,,,LORE ITEM
Beastlord,Fingers,Extended Enhancement II,Clawed Knuckle-Ring,https://eqlwiki.com/Clawed_Knuckle-Ring,,20,,,MAGIC ITEM
Beastlord,Fingers,Extended Range II,Moonstone Ring,https://eqlwiki.com/Moonstone_Ring,,,30,,MAGIC ITEM
Beastlord,Fingers,Naki's Charm of Pernicity,Summoned: Naki's Twisted Ring,https://eqlwiki.com/Summoned:_Naki's_Twisted_Ring,4,10,10,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Fingers,Naki's Greater Pernicity,Summoned: Naki's Studded Ring,https://eqlwiki.com/Summoned:_Naki's_Studded_Ring,6,20,20,Kunark Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Fingers,Naki's Lesser Pernicity,Summoned: Naki's Tiny Ring,https://eqlwiki.com/Summoned:_Naki's_Tiny_Ring,2,5,5,Classic Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Fingers,Naki's Superior Pernicity,Summoned: Naki's Spiked Ring,https://eqlwiki.com/Summoned:_Naki's_Spiked_Ring,6,20,20,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Fingers,Reanimation Efficiency II,Platinum Skull Ring,https://eqlwiki.com/Platinum_Skull_Ring,,30,20,,MAGIC ITEM
Beastlord,Fingers,Spell Haste II,Djarns Amethyst Ring,https://eqlwiki.com/Djarns_Amethyst_Ring,,80,,,MAGIC ITEM|LORE ITEM
Beastlord,Fingers,Summoning Efficiency I,Band of Flesh,https://eqlwiki.com/Band_of_Flesh,,,,,MAGIC ITEM
Beastlord,Fingers,Summoning Haste I,Adamantite Band,https://eqlwiki.com/Adamantite_Band,,75,,Classic Era,MAGIC ITEM
Beastlord,Hands,Affliction Efficiency I,Impskin Gloves,https://eqlwiki.com/Impskin_Gloves,2,,10,,MAGIC ITEM
Beastlord,Hands,Improved Damage I,Lupine Claw Gauntlets,https://eqlwiki.com/Lupine_Claw_Gauntlets,4,,,,MAGIC ITEM
Beastlord,Head,Burning Affliction II,Siryn Hair Hood,https://eqlwiki.com/Siryn_Hair_Hood,5,,,,MAGIC ITEM
Beastlord,Head,Enhancement Haste I,Cat Skull Cap,https://eqlwiki.com/Cat_Skull_Cap,4,,,Classic Era,MAGIC ITEM|LORE ITEM|NO DROP
Beastlord,Head,Extended Enhancement I,Shazda Turban,https://eqlwiki.com/Shazda_Turban,,,,,MAGIC ITEM|LORE ITEM
Beastlord,Head,Extended Enhancement II,Batfang Headband,https://eqlwiki.com/Batfang_Headband,2,,,Classic Era,MAGIC ITEM
Beastlord,Head,Improved Healing I,Turtleshell Helm,https://eqlwiki.com/Turtleshell_Helm,5,,,,MAGIC ITEM
Beastlord,Head,Mana Preservation II,Mane Attraction,https://eqlwiki.com/Mane_Attraction,4,,,,LORE ITEM|NO DROP
Beastlord,Head,Reagent Conservation II,Crown of Leaves,https://eqlwiki.com/Crown_of_Leaves,1,,,,
Beastlord,Head,Reagent Conservation II,Fine Silk Turban,https://eqlwiki.com/Fine_Silk_Turban,10,,,,MAGIC ITEM
Beastlord,Head,Reagent Conservation II,Savant's Cap,https://eqlwiki.com/Savant's_Cap,2,,,,MAGIC ITEM
Beastlord,Legs,Reagent Conservation I,Drake-hide Leggings,https://eqlwiki.com/Drake-hide_Leggings,5,,,,MAGIC ITEM
Beastlord,Neck,Affliction Efficiency II,White Gold Necklace,https://eqlwiki.com/White_Gold_Necklace,,,,,MAGIC ITEM
Beastlord,Neck,Affliction Haste II,Chrysoberyl Talisman,https://eqlwiki.com/Chrysoberyl_Talisman,5,,20,,MAGIC ITEM|LORE ITEM
Beastlord,Neck,Burning Affliction I,Allize Volew Medicine Bag,https://eqlwiki.com/Allize_Volew_Medicine_Bag,,,,,MAGIC ITEM|LORE ITEM
Beastlord,Neck,Burning Affliction I,Aviak Charm,https://eqlwiki.com/Aviak_Charm,,,,,MAGIC ITEM|LORE ITEM|NO DROP
Beastlord,Neck,Extended Range I,An Elven Charm Necklace,https://eqlwiki.com/An_Elven_Charm_Necklace,,,,Classic Era,LORE ITEM
Beastlord,Neck,Extended Range I,Elven Charm Necklace,https://eqlwiki.com/Elven_Charm_Necklace,,,,Classic Era,
Beastlord,Neck,Extended Range I,Glowing Bone Collar,https://eqlwiki.com/Glowing_Bone_Collar,5,25,25,Classic Era,MAGIC ITEM|LORE ITEM
Beastlord,Neck,Jedah's Conservation,Summoned: Jedah's Silver Choker,https://eqlwiki.com/Summoned:_Jedah's_Silver_Choker,5,10,10,,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Neck,Jedah's Greater Conservation,Summoned: Jedah's Golden Choker,https://eqlwiki.com/Summoned:_Jedah's_Golden_Choker,8,20,20,,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Neck,Jedah's Lesser Conservation,Summoned: Jedah's Brass Choker,https://eqlwiki.com/Summoned:_Jedah's_Brass_Choker,2,5,5,,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Neck,Jedah's Superior Conservation,Summoned: Jedah's Platinum Choker,https://eqlwiki.com/Summoned:_Jedah's_Platinum_Choker,8,20,20,Velious Era,MAGIC ITEM|TEMPORARY|EQUIPPED|LORE
Beastlord,Neck,Mana Preservation II,Black Alloy Medallion,https://eqlwiki.com/Black_Alloy_Medallion,6,,,Classic Era,MAGIC ITEM
Beastlord,Neck,Spell Haste I,Beaded Slime Necklace,https://eqlwiki.com/Beaded_Slime_Necklace,,,,,
Beastlord,Primary,Brass Resonance 14,McVaxius` Horn of War,https://eqlwiki.com/McVaxius`_Horn_of_War,,,,,MAGIC ITEM|LORE ITEM
Beastlord,Primary,Improved Healing III,Idol of the Underking,https://eqlwiki.com/Idol_of_the_Underking,,20,20,Classic Era,MAGIC ITEM|LORE ITEM
Beastlord,Primary,Percussion Resonance 11,Mistmoore Battle Drums,https://eqlwiki.com/Mistmoore_Battle_Drums,,,,,ATTUNEABLE|PLACEABLE
Beastlord,Primary,Percussion Resonance 14,Selo`s Drums of the March,https://eqlwiki.com/Selo`s_Drums_of_the_March,,,,,MAGIC ITEM
Beastlord,Primary,String Resonance 11,Gypsy Lute,https://eqlwiki.com/Gypsy_Lute,,,,,
