name,url,slots,slot_raw,slot_count,classes,class_count,usable_by_all_classes,races_raw,ac,hp,mana,endurance,str,sta,agi,dex,wis,int,cha,sv_fire,sv_cold,sv_magic,sv_poison,sv_disease,sv_void,damage,attack_delay,ratio,skill,range,effect,casting_time,charges,focus_effect,weight,size,flags,era,merchant_value,player_crafted,is_equippable,drop_zones,drop_zone_count,categories,wiki_page_parsed
10 Dose Minor Null Potion,https://eqlwiki.com/10_Dose_Minor_Null_Potion,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Null Aura,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Minor Potion of Cold,https://eqlwiki.com/10_Dose_Minor_Potion_of_Cold,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Aura of Cold,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Minor Potion of Heat,https://eqlwiki.com/10_Dose_Minor_Potion_of_Heat,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Aura of Heat,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Null Potion,https://eqlwiki.com/10_Dose_Null_Potion,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Null Aura,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Antiweight,https://eqlwiki.com/10_Dose_Potion_of_Antiweight,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Levitation,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items,True
10 Dose Potion of Aquatic Haunt,https://eqlwiki.com/10_Dose_Potion_of_Aquatic_Haunt,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Everlasting Breath,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Cohesion,https://eqlwiki.com/10_Dose_Potion_of_Cohesion,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Cohesion,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Cold,https://eqlwiki.com/10_Dose_Potion_of_Cold,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Aura of Cold,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Dulsehound,https://eqlwiki.com/10_Dose_Potion_of_Dulsehound,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Dulsehound,Instant,10,,0.8,SMALL,MAGIC ITEM,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Graveyard Dust,https://eqlwiki.com/10_Dose_Potion_of_Graveyard_Dust,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Graveyard Dust,Instant,10,,0.8,SMALL,MAGIC ITEM,Classic Era,,True,False,,0,Inventory Items,True
10 Dose Potion of Lesser Power,https://eqlwiki.com/10_Dose_Potion_of_Lesser_Power,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Power,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Lesser Stability,https://eqlwiki.com/10_Dose_Potion_of_Lesser_Stability,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Stability,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Lesser Vigor,https://eqlwiki.com/10_Dose_Potion_of_Lesser_Vigor,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Vigor,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Power,https://eqlwiki.com/10_Dose_Potion_of_Power,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Power,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Rejuvenation,https://eqlwiki.com/10_Dose_Potion_of_Rejuvenation,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Rejuvenation,12.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Spirit Shield,https://eqlwiki.com/10_Dose_Potion_of_Spirit_Shield,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Shifting Shield,12.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Stinging Wort,https://eqlwiki.com/10_Dose_Potion_of_Stinging_Wort,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Calimony,Instant,10,,0.8,SMALL,MAGIC ITEM,,180p 9g 3c,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Unlife Awareness,https://eqlwiki.com/10_Dose_Potion_of_Unlife_Awareness,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Invisibility versus Undead,3.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of Vigor,https://eqlwiki.com/10_Dose_Potion_of_Vigor,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Vigor,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of the Bone Field,https://eqlwiki.com/10_Dose_Potion_of_the_Bone_Field,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Field of Bone Port,30.0,10,,0.4,SMALL,MAGIC ITEM,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of the Frost,https://eqlwiki.com/10_Dose_Potion_of_the_Frost,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Frost Port,30.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Potion of the Swamp,https://eqlwiki.com/10_Dose_Potion_of_the_Swamp,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Swamp Port,30.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Serpent's Conviction,https://eqlwiki.com/10_Dose_Serpent's_Conviction,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Serpent Sight,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items,True
10 Dose Vial of Tamed Mercury,https://eqlwiki.com/10_Dose_Vial_of_Tamed_Mercury,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Flurry,8.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Doses of Greater Rejuvenation,https://eqlwiki.com/10_Doses_of_Greater_Rejuvenation,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Rejuvenation,12.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items,True
10 Doses of Lesser Rejuvenation,https://eqlwiki.com/10_Doses_of_Lesser_Rejuvenation,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Rejuvenation,12.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
100' of Waterproofed Rope,https://eqlwiki.com/100'_of_Waterproofed_Rope,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,MEDIUM,LORE ITEM|NO DROP,Velious Era,,False,False,Cobalt Scar,1,Inventory Items|Cobalt Scar|Quest Items,True
10lb Fetid Bass,https://eqlwiki.com/10lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
11lb Fetid Bass,https://eqlwiki.com/11lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
12lb Fetid Bass,https://eqlwiki.com/12lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
13lb Fetid Bass,https://eqlwiki.com/13lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
14lb Fetid Bass,https://eqlwiki.com/14lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
15lb Fetid Bass,https://eqlwiki.com/15lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
16lb Fetid Bass,https://eqlwiki.com/16lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
17lb Fetid Bass,https://eqlwiki.com/17lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
1st Piece of Staff,https://eqlwiki.com/1st_Piece_of_Staff,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,SMALL,,,,False,False,,0,Quest Items,True
2lb Fetid Bass,https://eqlwiki.com/2lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
2nd Piece of Staff,https://eqlwiki.com/2nd_Piece_of_Staff,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,SMALL,MAGIC ITEM|LORE ITEM|NO DROP,Kunark Era,,False,False,,0,Quest Items,True
2x Brewed 2x Stout Dwarven Ale,https://eqlwiki.com/2x_Brewed_2x_Stout_Dwarven_Ale,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
3lb Fetid Bass,https://eqlwiki.com/3lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
3rd Piece of Staff,https://eqlwiki.com/3rd_Piece_of_Staff,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,SMALL,,,,False,False,,0,Quest Items,True
4lb Fetid Bass,https://eqlwiki.com/4lb_Fetid_Bass,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,SMALL,,Kunark Era,,False,False,,0,Inventory Items,True
4th Piece of Staff,https://eqlwiki.com/4th_Piece_of_Staff,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,SMALL,MAGIC ITEM|LORE ITEM|NO DROP,Epics Era,,False,False,,0,Quest Items,True
5 Dose Adrenaline Tap,https://eqlwiki.com/5_Dose_Adrenaline_Tap,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Flurry,8.0,5,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items,True
5 Dose Ant's Potion,https://eqlwiki.com/5_Dose_Ant's_Potion,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Ant Legs,4.0,5,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
5 Dose Blood of the Wolf,https://eqlwiki.com/5_Dose_Blood_of_the_Wolf,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Spirit of Wolf,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
5 Dose Ethira's Poison Antidote,https://eqlwiki.com/5_Dose_Ethira's_Poison_Antidote,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Counteract Poison,2.0,5,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
5 Dose Greater Null Potion,https://eqlwiki.com/5_Dose_Greater_Null_Potion,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Null Aura,4.0,5,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
5 Dose Greater Potion of Vigor,https://eqlwiki.com/5_Dose_Greater_Potion_of_Vigor,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Vigor,4.0,5,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
5 Dose Kilva's Skin of Flame,https://eqlwiki.com/5_Dose_Kilva's_Skin_of_Flame,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Kilva's Skin of Flame,10.0,5,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
